,airports,cities,countries,airports - cities
2495,Olbia Costa Smeralda Airport,Olbia (SS),IT,Olbia Costa Smeralda Airport - Olbia (SS)
2496,Tortolì Airport,Arbatax,IT,Tortolì Airport - Arbatax
2497,Alessandria Airport,Alessandria,IT,Alessandria Airport - Alessandria
2498,Biella-Cerrione Airport,Biella (BI),IT,Biella-Cerrione Airport - Biella (BI)
2499,Vercelli Airport,Vercelli,IT,Vercelli Airport - Vercelli
2500,Casale Monferrato Airport,Casale Monferrato,IT,Casale Monferrato Airport - Casale Monferrato
2501,Varese-Venegono Airport,Varese,IT,Varese-Venegono Airport - Varese
2502,Torino-Aeritalia Airport,Torino,IT,Torino-Aeritalia Airport - Torino
2503,Malpensa International Airport,Milan,IT,Malpensa International Airport - Milan
2504,Milan Bergamo Airport,Milan,IT,Milan Bergamo Airport - Milan
2505,Turin Airport,Torino,IT,Turin Airport - Torino
2506,Villanova D'Albenga International Airport,Albenga (SV),IT,Villanova D'Albenga International Airport - Albenga (SV)
2507,Genoa Cristoforo Colombo Airport,Genova,IT,Genoa Cristoforo Colombo Airport - Genova
2508,Milano Linate Airport,Milan,IT,Milano Linate Airport - Milan
2509,Cameri Air Base [MIL],Cameri (NO),IT,Cameri Air Base [MIL] - Cameri (NO)
2510,Parma Airport,Parma,IT,Parma Airport - Parma
2511,Novi Ligure Airport,Novi Ligure,IT,Novi Ligure Airport - Novi Ligure
2512,Piacenza San Damiano Air Base,Piacenza,IT,Piacenza San Damiano Air Base - Piacenza
2513,Aosta Airport,Aosta,IT,Aosta Airport - Aosta
2514,Cuneo International Airport,Cuneo,IT,Cuneo International Airport - Cuneo
2515,Aviano Air Base,Aviano (PN),IT,Aviano Air Base - Aviano (PN)
2516,Bolzano Airport,Bolzano,IT,Bolzano Airport - Bolzano
2517,Cervia Air Base,Cervia,IT,Cervia Air Base - Cervia
2518,Bologna Guglielmo Marconi Airport,Bologna,IT,Bologna Guglielmo Marconi Airport - Bologna
2519,Treviso-Sant'Angelo Airport,Treviso,IT,Treviso-Sant'Angelo Airport - Treviso
2520,Rivolto Air Base,Codroipo,IT,Rivolto Air Base - Codroipo
2521,Forlì Airport,Forlì (FC),IT,Forlì Airport - Forlì (FC)
2522,Ghedi Air Base,Ghedi,IT,Ghedi Air Base - Ghedi
2523,Brescia Airport,Montichiari (BS),IT,Brescia Airport - Montichiari (BS)
2524,Trieste–Friuli Venezia Giulia Airport,Trieste,IT,Trieste–Friuli Venezia Giulia Airport - Trieste
2525,Federico Fellini International Airport,Rimini,IT,Federico Fellini International Airport - Rimini
2526,Istrana Air Base,Istrana,IT,Istrana Air Base - Istrana
2527,Padova Airfield,Padova,IT,Padova Airfield - Padova
2528,Verona-Villafranca Valerio Catullo Airport,Villafranca di Verona,IT,Verona-Villafranca Valerio Catullo Airport - Villafranca di Verona
2529,Marche Airport,Ancona,IT,Marche Airport - Ancona
2530,Venice Marco Polo Airport,Venice,IT,Venice Marco Polo Airport - Venice
2531,Siena-Ampugnano Airport,Siena,IT,Siena-Ampugnano Airport - Siena
2532,Sarzana-Luni Air Base,Sarzana (SP),IT,Sarzana-Luni Air Base - Sarzana (SP)
2533,Ciampino–G. B. Pastine International Airport,Rome,IT,Ciampino–G. B. Pastine International Airport - Rome
2534,Pratica Di Mare Air Base,Pomezia,IT,Pratica Di Mare Air Base - Pomezia
2535,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,Rome–Fiumicino Leonardo da Vinci International Airport - Rome
2536,Guidonia Air Base,Guidonia,IT,Guidonia Air Base - Guidonia
2537,Salerno Costa d'Amalfi Airport,Salerno,IT,Salerno Costa d'Amalfi Airport - Salerno
2538,Marina Di Campo Airport,Marina  Di Campo,IT,Marina Di Campo Airport - Marina  Di Campo
2539,Latina Air Base,Latina,IT,Latina Air Base - Latina
2540,Grazzanise Air Base,Caserta,IT,Grazzanise Air Base - Caserta
2541,Naples International Airport,Nápoli,IT,Naples International Airport - Nápoli
2542,Pisa International Airport,Pisa,IT,Pisa International Airport - Pisa
2543,Peretola Airport,Firenze,IT,Peretola Airport - Firenze
2544,Grosseto Air Base,Grosetto,IT,Grosseto Air Base - Grosetto
2545,Rome Urbe Airport,Rome,IT,Rome Urbe Airport - Rome
2546,Viterbo Airport,Viterbo,IT,Viterbo Airport - Viterbo
2547,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,IT,Perugia San Francesco d'Assisi – Umbria International Airport - Perugia
2548,Cerklje Airport,Cerklje ob Krki,SI,Cerklje Airport - Cerklje ob Krki
2549,Ljubljana Jože Pučnik Airport,Ljubljana,SI,Ljubljana Jože Pučnik Airport - Ljubljana
2550,Maribor Airport,,SI,Maribor Airport - nan
