,airports,cities,countries,airports - cities
4360,Perm International Airport,Perm,RU,Perm International Airport - Perm
4361,Kogalym International Airport,Kogalym,RU,Kogalym International Airport - Kogalym
4362,Nefteyugansk Airport,Nefteyugansk,RU,Nefteyugansk Airport - Nefteyugansk
4363,Noyabrsk Airport,Noyabrsk,RU,Noyabrsk Airport - Noyabrsk
4364,Surgut Airport,Surgut,RU,Surgut Airport - Surgut
4365,Uktus Airport,Yekaterinburg,RU,Uktus Airport - Yekaterinburg
4366,Koltsovo Airport,Yekaterinburg,RU,Koltsovo Airport - Yekaterinburg
4367,Roshchino International Airport,Tyumen,RU,Roshchino International Airport - Tyumen
4368,Kurgan Airport,Kurgan,RU,Kurgan Airport - Kurgan
4369,Ashgabat International Airport,Ashgabat,TM,Ashgabat International Airport - Ashgabat
4370,Turkmenbashi International Airport,Turkmenbashi,TM,Turkmenbashi International Airport - Turkmenbashi
4371,Mary International Airport,Mary,TM,Mary International Airport - Mary
4372,Daşoguz Airport,Daşoguz,TM,Daşoguz Airport - Daşoguz
4373,Türkmenabat International Airport,Türkmenabat,TM,Türkmenabat International Airport - Türkmenabat
4374,Dushanbe Airport,Dushanbe,TJ,Dushanbe Airport - Dushanbe
4375,Kulob Airport,Kulyab,TJ,Kulob Airport - Kulyab
4376,Khujand Airport,Khujand,TJ,Khujand Airport - Khujand
4377,Qurghonteppa International Airport,Kurgan-Tyube,TJ,Qurghonteppa International Airport - Kurgan-Tyube
4378,Andizhan Airport,Andizhan,UZ,Andizhan Airport - Andizhan
4379,Fergana International Airport,Fergana,UZ,Fergana International Airport - Fergana
4380,Nukus Airport,Nukus,UZ,Nukus Airport - Nukus
4381,Urgench Airport,Urgench,UZ,Urgench Airport - Urgench
4382,Navoi Airport,Navoi,UZ,Navoi Airport - Navoi
4383,Bukhara International Airport,Bukhara,UZ,Bukhara International Airport - Bukhara
4384,Samarkand Airport,Samarkand,UZ,Samarkand Airport - Samarkand
4385,Termez Airport,Termez,UZ,Termez Airport - Termez
4386,Tashkent East Airport,Tashkent,UZ,Tashkent East Airport - Tashkent
4387,Tashkent International Airport,Tashkent,UZ,Tashkent International Airport - Tashkent
4388,Kostroma Sokerkino Airport,Kostroma,RU,Kostroma Sokerkino Airport - Kostroma
4389,Grabtsevo Airport,Kaluga,RU,Grabtsevo Airport - Kaluga
4390,Dyagilevo Air Base,Ryazan,RU,Dyagilevo Air Base - Ryazan
4391,Ivanovo South Airport,Ivanovo,RU,Ivanovo South Airport - Ivanovo
4392,Staroselye Airport,Rybinsk,RU,Staroselye Airport - Rybinsk
4393,Semyazino Airport,Vladimir,RU,Semyazino Airport - Vladimir
4394,Myachkovo Airport,Moscow,RU,Myachkovo Airport - Moscow
4395,Bryansk Airport,Bryansk,RU,Bryansk Airport - Bryansk
4396,Zhukovsky International Airport,Moscow,RU,Zhukovsky International Airport - Moscow
4397,Domodedovo International Airport,Moscow,RU,Domodedovo International Airport - Moscow
4398,Sheremetyevo International Airport,Moscow,RU,Sheremetyevo International Airport - Moscow
4399,Migalovo Air Base,Tver,RU,Migalovo Air Base - Tver
4400,Ostafyevo International Airport,Moscow,RU,Ostafyevo International Airport - Moscow
4401,Tretyakovo Airport,Lukhovitsy,RU,Tretyakovo Airport - Lukhovitsy
4402,Chkalovskiy Air Base,Moscow,RU,Chkalovskiy Air Base - Moscow
4403,Belgorod International Airport,Belgorod,RU,Belgorod International Airport - Belgorod
4404,Kursk East Airport,Kursk,RU,Kursk East Airport - Kursk
4405,Lipetsk Airport,Lipetsk,RU,Lipetsk Airport - Lipetsk
4406,Voronezh International Airport,Voronezh,RU,Voronezh International Airport - Voronezh
4407,Oryol Yuzhny Airport,Orel,RU,Oryol Yuzhny Airport - Orel
4408,Donskoye Airport,Tambov,RU,Donskoye Airport - Tambov
4409,Yermolino Air Base,Balabanovo,RU,Yermolino Air Base - Balabanovo
4410,Vnukovo International Airport,Moscow,RU,Vnukovo International Airport - Moscow
4411,Ukhta Airport,Ukhta,RU,Ukhta Airport - Ukhta
4412,Inta Airport,Inta,RU,Inta Airport - Inta
4413,Vuktyl Airport,Vuktyl,RU,Vuktyl Airport - Vuktyl
4414,Pechora Airport,Pechora,RU,Pechora Airport - Pechora
4415,Usinsk Airport,Usinsk,RU,Usinsk Airport - Usinsk
4416,Izhma Airport,Izhma,RU,Izhma Airport - Izhma
4417,Vorkuta Airport,Vorkuta,RU,Vorkuta Airport - Vorkuta
4418,Ust-Tsylma Airport,Ust-Tsylma,RU,Ust-Tsylma Airport - Ust-Tsylma
4419,Syktyvkar Airport,Syktyvkar,RU,Syktyvkar Airport - Syktyvkar
4420,Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,RU,Nizhny Novgorod Strigino International Airport - Nizhny Novgorod
4421,Bugulma Airport,Bugulma,RU,Bugulma Airport - Bugulma
4422,Kazan International Airport,Kazan,RU,Kazan International Airport - Kazan
4423,Begishevo Airport,Nizhnekamsk,RU,Begishevo Airport - Nizhnekamsk
4424,Borisoglebskoye Airport,Kazan,RU,Borisoglebskoye Airport - Kazan
4425,Yoshkar-Ola Airport,Yoshkar-Ola,RU,Yoshkar-Ola Airport - Yoshkar-Ola
4426,Cheboksary Airport,Cheboksary,RU,Cheboksary Airport - Cheboksary
4427,Zhigansk Airport,Zhigansk,RU,Zhigansk Airport - Zhigansk
4428,Ulyanovsk Baratayevka Airport,Ulyanovsk,RU,Ulyanovsk Baratayevka Airport - Ulyanovsk
4429,Ulyanovsk East Airport,Cherdakly,RU,Ulyanovsk East Airport - Cherdakly
4430,Orenburg Central Airport,Orenburg,RU,Orenburg Central Airport - Orenburg
4431,Orsk Airport,Orsk,RU,Orsk Airport - Orsk
4432,Penza Airport,Penza,RU,Penza Airport - Penza
4433,Saransk Airport,Saransk,RU,Saransk Airport - Saransk
4434,Balakovo Airport,Balakovo,RU,Balakovo Airport - Balakovo
4435,Gagarin International Airport,Saratov,RU,Gagarin International Airport - Saratov
4436,Maksimovka Airport,Ufa,RU,Maksimovka Airport - Ufa
4437,Ufa International Airport,Ufa,RU,Ufa International Airport - Ufa
4438,Buguruslan Severny Airport,Buguruslan,RU,Buguruslan Severny Airport - Buguruslan
4439,Bezymyanka Airfield,Samara,RU,Bezymyanka Airfield - Samara
4440,Kurumoch International Airport,Samara,RU,Kurumoch International Airport - Samara
4441,"Rewa Airport, Chorhata, REWA",Rewa,IN,"Rewa Airport, Chorhata, REWA - Rewa"
4442,Sardar Vallabhbhai Patel International Airport,Ahmedabad,IN,Sardar Vallabhbhai Patel International Airport - Ahmedabad
4443,Akola Airport,Akola,IN,Akola Airport - Akola
4444,Aurangabad Airport,Aurangabad,IN,Aurangabad Airport - Aurangabad
4445,Chhatrapati Shivaji International Airport,Mumbai,IN,Chhatrapati Shivaji International Airport - Mumbai
4446,Bilaspur Airport,Bilaspur,IN,Bilaspur Airport - Bilaspur
4447,Bhuj Airport,Bhuj,IN,Bhuj Airport - Bhuj
4448,Belagavi Airport,Belgaum,IN,Belagavi Airport - Belgaum
4449,Vadodara Airport,Vadodara,IN,Vadodara Airport - Vadodara
4450,Raja Bhoj International Airport,Bhopal,IN,Raja Bhoj International Airport - Bhopal
4451,Bhavnagar Airport,Bhavnagar,IN,Bhavnagar Airport - Bhavnagar
4452,Daman Airport,Daman,IN,Daman Airport - Daman
4453,Dabolim Airport,Vasco da Gama,IN,Dabolim Airport - Vasco da Gama
4454,Hubli Airport,Hubli,IN,Hubli Airport - Hubli
4455,Devi Ahilyabai Holkar Airport,Indore,IN,Devi Ahilyabai Holkar Airport - Indore
4456,Jabalpur Airport,,IN,Jabalpur Airport - nan
4457,Jamnagar Airport,Jamnagar,IN,Jamnagar Airport - Jamnagar
4458,Kandla Airport,Kandla,IN,Kandla Airport - Kandla
4459,Khajuraho Airport,Khajuraho,IN,Khajuraho Airport - Khajuraho
4460,Kolhapur Airport,,IN,Kolhapur Airport - nan
4461,Keshod Airport,Keshod,IN,Keshod Airport - Keshod
4462,Nanded Airport,Nanded,IN,Nanded Airport - Nanded
4463,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN,Dr. Babasaheb Ambedkar International Airport - Nagpur
4464,Nashik Airport,Nasik,IN,Nashik Airport - Nasik
4465,Pune Airport / Lohagaon Air Force Station,Pune,IN,Pune Airport / Lohagaon Air Force Station - Pune
4466,Porbandar Airport,Porbandar,IN,Porbandar Airport - Porbandar
4467,Ratnagiri Airport,,IN,Ratnagiri Airport - nan
4468,Rajkot Airport,Rajkot,IN,Rajkot Airport - Rajkot
4469,Shirdi Airport,Kakadi,IN,Shirdi Airport - Kakadi
4470,Solapur Airport,Solapur,IN,Solapur Airport - Solapur
4471,Surat Airport,,IN,Surat Airport - nan
4472,Maharana Pratap Airport,Udaipur,IN,Maharana Pratap Airport - Udaipur
4473,Bandaranaike International Colombo Airport,Colombo,LK,Bandaranaike International Colombo Airport - Colombo
4474,Anuradhapura Airport,Anuradhapura,LK,Anuradhapura Airport - Anuradhapura
4475,Batticaloa Airport,Batticaloa,LK,Batticaloa Airport - Batticaloa
4476,Colombo Ratmalana Airport,Colombo,LK,Colombo Ratmalana Airport - Colombo
4477,Ampara Airport,Ampara,LK,Ampara Airport - Ampara
4478,Hingurakgoda Air Force Base,Polonnaruwa Town,LK,Hingurakgoda Air Force Base - Polonnaruwa Town
4479,Jaffna International Airport,Jaffna,LK,Jaffna International Airport - Jaffna
4480,Koggala Airport,Galle,LK,Koggala Airport - Galle
4481,China Bay Airport,Trincomalee,LK,China Bay Airport - Trincomalee
4482,Mattala Rajapaksa International Airport,,LK,Mattala Rajapaksa International Airport - nan
4483,Battambang Airport,Battambang,KH,Battambang Airport - Battambang
4484,Kampong Chhnang Airport,Kampong Chhnang,KH,Kampong Chhnang Airport - Kampong Chhnang
4485,Phnom Penh International Airport,Phnom Penh (Pou Senchey),KH,Phnom Penh International Airport - Phnom Penh (Pou Senchey)
4486,Ratanakiri Airport,Ratanakiri,KH,Ratanakiri Airport - Ratanakiri
4487,Siem Reap International Airport,Siem Reap,KH,Siem Reap International Airport - Siem Reap
4488,Hashimara Air Force Station,Jalpaiguri,IN,Hashimara Air Force Station - Jalpaiguri
4489,Along Airport,,IN,Along Airport - nan
4490,Agartala - Maharaja Bir Bikram Airport,Agartala,IN,Agartala - Maharaja Bir Bikram Airport - Agartala
4491,Bagdogra Airport,Siliguri,IN,Bagdogra Airport - Siliguri
4492,Shillong Airport,Shillong,IN,Shillong Airport - Shillong
4493,Biju Patnaik Airport,Bhubaneswar,IN,Biju Patnaik Airport - Bhubaneswar
4494,Netaji Subhash Chandra Bose International Airport,Kolkata,IN,Netaji Subhash Chandra Bose International Airport - Kolkata
4495,Dhanbad Airport,,IN,Dhanbad Airport - nan
4496,Kazi Nazrul Islam Airport,Durgapur,IN,Kazi Nazrul Islam Airport - Durgapur
4497,Gorakhpur Airport,Gorakhpur,IN,Gorakhpur Airport - Gorakhpur
4498,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN,Lokpriya Gopinath Bordoloi International Airport - Guwahati
4499,Gaya Airport,,IN,Gaya Airport - nan
4500,Imphal Airport,Imphal,IN,Imphal Airport - Imphal
4501,Sonari Airport,Jamshedpur,IN,Sonari Airport - Jamshedpur
4502,Jorhat Airport,Jorhat,IN,Jorhat Airport - Jorhat
4503,Kushinagar International Airport,Kushinagar,IN,Kushinagar International Airport - Kushinagar
4504,Kailashahar Airport,Kailashahar,IN,Kailashahar Airport - Kailashahar
4505,Silchar Airport,Silchar,IN,Silchar Airport - Silchar
4506,Lengpui Airport,Aizawl (Lengpui),IN,Lengpui Airport - Aizawl (Lengpui)
4507,North Lakhimpur Airport,Lilabari,IN,North Lakhimpur Airport - Lilabari
4508,Dibrugarh Airport,Dibrugarh,IN,Dibrugarh Airport - Dibrugarh
4509,Dimapur Airport,Dimapur,IN,Dimapur Airport - Dimapur
4510,Muzaffarpur Airport,,IN,Muzaffarpur Airport - nan
4511,Panagarh Air Force Station,,IN,Panagarh Air Force Station - nan
4512,Lok Nayak Jayaprakash Airport,Patna,IN,Lok Nayak Jayaprakash Airport - Patna
4513,Birsa Munda Airport,Ranchi,IN,Birsa Munda Airport - Ranchi
4514,Rourkela Airport,,IN,Rourkela Airport - nan
4515,Tezpur Airport,,IN,Tezpur Airport - nan
4516,Ziro Airport,Ziro,IN,Ziro Airport - Ziro
4517,Barisal Airport,Barisal,BD,Barisal Airport - Barisal
4518,Cox's Bazar Airport,Cox's Bazar,BD,Cox's Bazar Airport - Cox's Bazar
4519,Shah Amanat International Airport,Chattogram (Chittagong),BD,Shah Amanat International Airport - Chattogram (Chittagong)
4520,Ishurdi Airport,Ishurdi,BD,Ishurdi Airport - Ishurdi
4521,Jessore Airport,Jashore (Jessore),BD,Jessore Airport - Jashore (Jessore)
4522,Shah Mokhdum Airport,Rajshahi,BD,Shah Mokhdum Airport - Rajshahi
4523,Saidpur Airport,Saidpur,BD,Saidpur Airport - Saidpur
4524,Osmany International Airport,Sylhet,BD,Osmany International Airport - Sylhet
4525,Hazrat Shahjalal International Airport,Dhaka,BD,Hazrat Shahjalal International Airport - Dhaka
4526,Hong Kong International Airport,Hong Kong,HK,Hong Kong International Airport - Hong Kong
4527,Shek Kong Air Base,"Islands, New Territories",HK,"Shek Kong Air Base - Islands, New Territories"
4528,Agra Airport / Agra Air Force Station,Agra,IN,Agra Airport / Agra Air Force Station - Agra
4529,Allahabad Airport,Allahabad,IN,Allahabad Airport - Allahabad
4530,Ambala Air Force Station,,IN,Ambala Air Force Station - nan
4531,Sri Guru Ram Dass Jee International Airport,Amritsar,IN,Sri Guru Ram Dass Jee International Airport - Amritsar
4532,Nal Airport,Bikaner,IN,Nal Airport - Bikaner
4533,Lal Bahadur Shastri Airport,Varanasi,IN,Lal Bahadur Shastri Airport - Varanasi
4534,Kullu Manali Airport,Bhuntar,IN,Kullu Manali Airport - Bhuntar
4535,Bhatinda Air Force Station,,IN,Bhatinda Air Force Station - nan
4536,Bareilly Air Force Station,Bareilly,IN,Bareilly Air Force Station - Bareilly
4537,Chandigarh International Airport,Chandigarh,IN,Chandigarh International Airport - Chandigarh
4538,Kanpur Airport,Kanpur,IN,Kanpur Airport - Kanpur
4539,Safdarjung Airport,New Delhi,IN,Safdarjung Airport - New Delhi
4540,Dehradun Airport,Dehradun,IN,Dehradun Airport - Dehradun
4541,Indira Gandhi International Airport,New Delhi,IN,Indira Gandhi International Airport - New Delhi
4542,Kangra Airport,Gaggal,IN,Kangra Airport - Gaggal
4543,Gwalior Airport,Gwalior,IN,Gwalior Airport - Gwalior
4544,Hissar Airport,,IN,Hissar Airport - nan
4545,Jodhpur Airport,Jodhpur,IN,Jodhpur Airport - Jodhpur
4546,Jaipur International Airport,Jaipur,IN,Jaipur International Airport - Jaipur
4547,Jaisalmer Airport,,IN,Jaisalmer Airport - nan
4548,Jammu Airport,Jammu,IN,Jammu Airport - Jammu
4549,Kishangarh Airport Ajmer,Ajmer (Kishangarh),IN,Kishangarh Airport Ajmer - Ajmer (Kishangarh)
4550,Kota Airport,Kota,IN,Kota Airport - Kota
4551,Ludhiana Airport,,IN,Ludhiana Airport - nan
4552,Leh Kushok Bakula Rimpochee Airport,Leh,IN,Leh Kushok Bakula Rimpochee Airport - Leh
4553,Chaudhary Charan Singh International Airport,Lucknow,IN,Chaudhary Charan Singh International Airport - Lucknow
4554,Pathankot Airport,Pathankot,IN,Pathankot Airport - Pathankot
4555,Pantnagar Airport,Pantnagar,IN,Pantnagar Airport - Pantnagar
4556,Sirsa Air Force Station,,IN,Sirsa Air Force Station - nan
4557,Sheikh ul Alam International Airport,Srinagar,IN,Sheikh ul Alam International Airport - Srinagar
4558,Udhampur Air Force Station,,IN,Udhampur Air Force Station - nan
4559,Luang Phabang International Airport,Luang Phabang,LA,Luang Phabang International Airport - Luang Phabang
4560,Pakse International Airport,Pakse,LA,Pakse International Airport - Pakse
4561,Savannakhet Airport,,LA,Savannakhet Airport - nan
4562,Sam Neua Airport,,LA,Sam Neua Airport - nan
4563,Wattay International Airport,Vientiane,LA,Wattay International Airport - Vientiane
4564,Macau International Airport,Freguesia de Nossa Senhora do Carmo (Taipa),MO,Macau International Airport - Freguesia de Nossa Senhora do Carmo (Taipa)
4565,Dong Hoi Airport,Dong Hoi,VN,Dong Hoi Airport - Dong Hoi
4566,Kontum Airport,Kontum,VN,Kontum Airport - Kontum
4567,Gautam Buddha International Airport,Siddharthanagar (Bhairahawa),NP,Gautam Buddha International Airport - Siddharthanagar (Bhairahawa)
4568,Janakpur Airport,Janakpur,NP,Janakpur Airport - Janakpur
4569,Tribhuvan International Airport,Kathmandu,NP,Tribhuvan International Airport - Kathmandu
4570,Nepalgunj Airport,Nepalgunj,NP,Nepalgunj Airport - Nepalgunj
4571,Pokhara Airport,Pokhara,NP,Pokhara Airport - Pokhara
4572,Taplejung Airport,Taplejung,NP,Taplejung Airport - Taplejung
4573,Biratnagar Airport,Biratnagar,NP,Biratnagar Airport - Biratnagar
4574,Murod Kond Airport,Latur,IN,Murod Kond Airport - Latur
4575,Campbell Bay Airport / INS Baaz,Campbell Bay,IN,Campbell Bay Airport / INS Baaz - Campbell Bay
4576,Agatti Airport,Agatti,IN,Agatti Airport - Agatti
4577,HAL Airport,Bangalore,IN,HAL Airport - Bangalore
4578,Bellary Airport,Bellary,IN,Bellary Airport - Bellary
4579,Kempegowda International Airport,Bangalore,IN,Kempegowda International Airport - Bangalore
4580,Bidar Airport / Bidar Air Force Station,Bidar,IN,Bidar Airport / Bidar Air Force Station - Bidar
4581,Vijayawada Airport,Gannavaram,IN,Vijayawada Airport - Gannavaram
4582,Coimbatore International Airport,Coimbatore,IN,Coimbatore International Airport - Coimbatore
4583,Cochin International Airport,Kochi,IN,Cochin International Airport - Kochi
4584,Calicut International Airport,Calicut,IN,Calicut International Airport - Calicut
4585,Kadapa Airport,Kadapa,IN,Kadapa Airport - Kadapa
4586,Car Nicobar Air Force Base,IAF Camp,IN,Car Nicobar Air Force Base - IAF Camp
4587,Dundigul Air Force Academy,Hyderabad,IN,Dundigul Air Force Academy - Hyderabad
4588,Rajiv Gandhi International Airport,Hyderabad,IN,Rajiv Gandhi International Airport - Hyderabad
4589,Begumpet Airport,Hyderabad,IN,Begumpet Airport - Hyderabad
4590,Kannur International Airport,Kannur,IN,Kannur International Airport - Kannur
4591,Kurnool Airport,Orvakal,IN,Kurnool Airport - Orvakal
4592,Madurai Airport,Madurai,IN,Madurai Airport - Madurai
4593,Mangalore International Airport,Mangalore,IN,Mangalore International Airport - Mangalore
4594,Chennai International Airport,Chennai,IN,Chennai International Airport - Chennai
4595,Veer Savarkar International Airport / INS Utkrosh,Port Blair,IN,Veer Savarkar International Airport / INS Utkrosh - Port Blair
4596,Pondicherry Airport,Puducherry (Pondicherry),IN,Pondicherry Airport - Puducherry (Pondicherry)
4597,Sri Sathya Sai Airport,Puttaparthi,IN,Sri Sathya Sai Airport - Puttaparthi
4598,Rajahmundry Airport,Rajahmundry,IN,Rajahmundry Airport - Rajahmundry
4599,Salem Airport,Salem,IN,Salem Airport - Salem
4600,Tiruchirappalli International Airport,Tiruchirappalli,IN,Tiruchirappalli International Airport - Tiruchirappalli
4601,Trivandrum International Airport,Thiruvananthapuram,IN,Trivandrum International Airport - Thiruvananthapuram
4602,Gelephu Airport,Gelephu,BT,Gelephu Airport - Gelephu
4603,Paro International Airport,Paro,BT,Paro International Airport - Paro
4604,Maafaru International Airport,Noonu Atoll,MV,Maafaru International Airport - Noonu Atoll
4605,Gan International Airport,Gan,MV,Gan International Airport - Gan
4606,Hanimaadhoo Airport,Haa Dhaalu Atoll,MV,Hanimaadhoo Airport - Haa Dhaalu Atoll
4607,Kadhdhoo Airport,Kadhdhoo,MV,Kadhdhoo Airport - Kadhdhoo
4608,Malé International Airport,Malé,MV,Malé International Airport - Malé
4609,Kaadedhdhoo Airport,Huvadhu Atoll,MV,Kaadedhdhoo Airport - Huvadhu Atoll
4610,Villa Airport,Maamigili,MV,Villa Airport - Maamigili
4611,Don Mueang International Airport,Bangkok,TH,Don Mueang International Airport - Bangkok
4612,Kamphaeng Saen Airport,Nakhon Pathom,TH,Kamphaeng Saen Airport - Nakhon Pathom
4613,Khok Kathiam Airport,,TH,Khok Kathiam Airport - nan
4614,Trat Airport,Laem Ngop,TH,Trat Airport - Laem Ngop
4615,Suvarnabhumi Airport,Bangkok,TH,Suvarnabhumi Airport - Bangkok
4616,U-Tapao International Airport,Rayong,TH,U-Tapao International Airport - Rayong
4617,Chiang Mai International Airport,Chiang Mai,TH,Chiang Mai International Airport - Chiang Mai
4618,Mae Hong Son Airport,,TH,Mae Hong Son Airport - nan
4619,Lampang Airport,,TH,Lampang Airport - nan
4620,Nan Airport,,TH,Nan Airport - nan
4621,Phrae Airport,,TH,Phrae Airport - nan
4622,Mae Fah Luang - Chiang Rai International Airport,Chiang Rai,TH,Mae Fah Luang - Chiang Rai International Airport - Chiang Rai
4623,Phetchabun Airport,,TH,Phetchabun Airport - nan
4624,Hua Hin Airport,Hua Hin,TH,Hua Hin Airport - Hua Hin
4625,Takhli Airport,,TH,Takhli Airport - nan
4626,Mae Sot Airport,,TH,Mae Sot Airport - nan
4627,Sukhothai Airport,,TH,Sukhothai Airport - nan
4628,Phitsanulok Airport,,TH,Phitsanulok Airport - nan
4629,Tak Airport,,TH,Tak Airport - nan
4630,Surat Thani Airport,Surat Thani,TH,Surat Thani Airport - Surat Thani
4631,Narathiwat Airport,,TH,Narathiwat Airport - nan
4632,Chumphon Airport,,TH,Chumphon Airport - nan
4633,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,TH,Nakhon Si Thammarat Airport - Nakhon Si Thammarat
4634,Krabi Airport,Krabi,TH,Krabi Airport - Krabi
4635,Songkhla Airport,,TH,Songkhla Airport - nan
4636,Pattani Airport,,TH,Pattani Airport - nan
4637,Samui Airport,Na Thon (Ko Samui Island),TH,Samui Airport - Na Thon (Ko Samui Island)
4638,Cha Eian Airport,Nakhon Si Thammarat,TH,Cha Eian Airport - Nakhon Si Thammarat
4639,Phuket International Airport,Phuket,TH,Phuket International Airport - Phuket
4640,Ranong Airport,,TH,Ranong Airport - nan
4641,Hat Yai International Airport,Hat Yai,TH,Hat Yai International Airport - Hat Yai
4642,Trang Airport,Trang,TH,Trang Airport - Trang
4643,Udon Thani Airport,Udon Thani,TH,Udon Thani Airport - Udon Thani
4644,Sakon Nakhon Airport,,TH,Sakon Nakhon Airport - nan
4645,Surin Airport,Surin,TH,Surin Airport - Surin
4646,Khon Kaen Airport,Khon Kaen,TH,Khon Kaen Airport - Khon Kaen
4647,Loei Airport,,TH,Loei Airport - nan
4648,Buri Ram Airport,,TH,Buri Ram Airport - nan
4649,Nakhon Ratchasima Airport,Chaloem Phra Kiat,TH,Nakhon Ratchasima Airport - Chaloem Phra Kiat
4650,Ubon Ratchathani Airport,Ubon Ratchathani,TH,Ubon Ratchathani Airport - Ubon Ratchathani
4651,Roi Et Airport,,TH,Roi Et Airport - nan
4652,Nakhon Phanom Airport,,TH,Nakhon Phanom Airport - nan
4653,Buon Ma Thuot Airport,Buon Ma Thuot,VN,Buon Ma Thuot Airport - Buon Ma Thuot
4654,Cat Bi International Airport,Haiphong,VN,Cat Bi International Airport - Haiphong
4655,Cà Mau Airport,Ca Mau City,VN,Cà Mau Airport - Ca Mau City
4656,Cam Ranh International Airport / Cam Ranh Air Base,Cam Ranh,VN,Cam Ranh International Airport / Cam Ranh Air Base - Cam Ranh
4657,Con Dao Airport,Con Dao,VN,Con Dao Airport - Con Dao
4658,Can Tho International Airport,Can Tho,VN,Can Tho International Airport - Can Tho
4659,Dien Bien Phu Airport,Dien Bien Phu,VN,Dien Bien Phu Airport - Dien Bien Phu
4660,Lien Khuong Airport,Da Lat,VN,Lien Khuong Airport - Da Lat
4661,Da Nang International Airport,Da Nang,VN,Da Nang International Airport - Da Nang
4662,Gia Lam Air Base,Hanoi,VN,Gia Lam Air Base - Hanoi
4663,Noi Bai International Airport,"Soc Son, Hanoi",VN,"Noi Bai International Airport - Soc Son, Hanoi"
4664,Phu Bai International Airport,Huế,VN,Phu Bai International Airport - Huế
4665,Phu Cat Airport,Quy Nohn,VN,Phu Cat Airport - Quy Nohn
4666,Pleiku Airport,Pleiku,VN,Pleiku Airport - Pleiku
4667,Phu Quoc International Airport,Phu Quoc Island,VN,Phu Quoc International Airport - Phu Quoc Island
4668,Rach Gia Airport,Rach Gia,VN,Rach Gia Airport - Rach Gia
4669,Dong Tac Airport,Tuy Hoa,VN,Dong Tac Airport - Tuy Hoa
4670,Tan Son Nhat International Airport,Ho Chi Minh City,VN,Tan Son Nhat International Airport - Ho Chi Minh City
4671,Van Don International Airport,Van Don,VN,Van Don International Airport - Van Don
4672,Vinh Airport,Vinh,VN,Vinh Airport - Vinh
4673,Dawei Airport,Dawei,MM,Dawei Airport - Dawei
4674,Nay Pyi Taw International Airport,Pyinmana,MM,Nay Pyi Taw International Airport - Pyinmana
4675,Heho Airport,Heho,MM,Heho Airport - Heho
4676,Kengtung Airport,Kengtung,MM,Kengtung Airport - Kengtung
4677,Kyaukpyu Airport,Kyaukpyu,MM,Kyaukpyu Airport - Kyaukpyu
4678,Kawthoung Airport,Kawthoung,MM,Kawthoung Airport - Kawthoung
4679,Loikaw Airport,Loikaw,MM,Loikaw Airport - Loikaw
4680,Lashio Airport,Lashio,MM,Lashio Airport - Lashio
4681,Mandalay International Airport,Mandalay,MM,Mandalay International Airport - Mandalay
4682,Myeik Airport,Mkeik,MM,Myeik Airport - Mkeik
4683,Myitkyina Airport,Myitkyina,MM,Myitkyina Airport - Myitkyina
4684,Meiktila Air Base,Meiktila,MM,Meiktila Air Base - Meiktila
4685,Momeik Airport,,MM,Momeik Airport - nan
4686,Mong Hsat Airport,Mong Hsat,MM,Mong Hsat Airport - Mong Hsat
4687,Nampong Air Base,Myitkyina,MM,Nampong Air Base - Myitkyina
4688,Namsang Airport,Namsang,MM,Namsang Airport - Namsang
4689,Putao Airport,Putao,MM,Putao Airport - Putao
4690,Shante Air Base,Meiktila,MM,Shante Air Base - Meiktila
4691,Sittwe Airport,Sittwe,MM,Sittwe Airport - Sittwe
4692,Thandwe Airport,Thandwe,MM,Thandwe Airport - Thandwe
4693,Tachileik Airport,Tachileik,MM,Tachileik Airport - Tachileik
4694,Yangon International Airport,Yangon,MM,Yangon International Airport - Yangon
4695,Hasanuddin International Airport,Ujung Pandang-Celebes Island,ID,Hasanuddin International Airport - Ujung Pandang-Celebes Island
4696,Frans Kaisiepo Airport,Biak-Supiori Island,ID,Frans Kaisiepo Airport - Biak-Supiori Island
4697,Nabire Airport,Nabire-Papua Island,ID,Nabire Airport - Nabire-Papua Island
4698,Mozes Kilangin Airport,Timika-Papua Island,ID,Mozes Kilangin Airport - Timika-Papua Island
4699,Ngurah Rai (Bali) International Airport,Denpasar-Bali Island,ID,Ngurah Rai (Bali) International Airport - Denpasar-Bali Island
4700,Lombok International Airport,Mataram,ID,Lombok International Airport - Mataram
4701,Pitu Airport,Gotalalamo-Morotai Island,ID,Pitu Airport - Gotalalamo-Morotai Island
4702,Toraja Airport,Toraja,ID,Toraja Airport - Toraja
4703,Mutiara - SIS Al-Jufrie Airport,Palu,ID,Mutiara - SIS Al-Jufrie Airport - Palu
4704,Kasiguncu Airport,Poso-Celebes Island,ID,Kasiguncu Airport - Poso-Celebes Island
4705,Syukuran Aminuddin Amir Airport,Luwok,ID,Syukuran Aminuddin Amir Airport - Luwok
4706,Yogyakarta International Airport,Yogyakarta,ID,Yogyakarta International Airport - Yogyakarta
4707,Tunggul Wulung Airport,Cilacap-Java Island,ID,Tunggul Wulung Airport - Cilacap-Java Island
